time [s],ECG lead I (mV),ECG lead II (mV),ECG lead V (mV),ART (mmHg),PAP (mmHg),CVP (mmHg),Resp. Imp. (mV),CO2 (mV)
0.0,-1.5612682090831191,-1.140728476821192,-0.7894736842105263,28.68988391376451,98.35907335907336,-26.444223107569723,-0.784,-0.258
0.002777777777777778,-1.5089974293059125,-1.0927152317880795,-0.7395182872435325,71.80762852404644,147.7799227799228,-26.444223107569723,-0.004,0.845
0.005555555555555556,-1.5038560411311055,-1.0877483443708609,-0.7350579839429081,74.87562189054727,147.7799227799228,-26.444223107569723,0.051,0.924
0.008333333333333333,-1.515852613538989,-1.099337748344371,-0.7466547725245317,64.42786069651741,147.7799227799228,-26.444223107569723,-0.138,0.657
0.011111111111111112,-1.5115681233933163,-1.0951986754966887,-0.7430865298840321,65.67164179104478,147.7799227799228,-26.444223107569723,-0.114,0.691
0.013888888888888888,-1.5047129391602398,-1.0894039735099337,-0.735950044603033,70.39800995024875,147.7799227799228,-26.444223107569723,-0.028,0.812
0.016666666666666666,-1.5107112253641817,-1.0943708609271523,-0.7421944692239072,68.57379767827528,147.7799227799228,-26.444223107569723,-0.062,0.764
0.019444444444444445,-1.5175664095972579,-1.1001655629139073,-0.7484388938447815,66.41791044776119,147.7799227799228,-26.444223107569723,-0.101,0.709
0.022222222222222223,-1.5141388174807198,-1.0968543046357615,-0.7448706512042819,67.82752902155887,147.7799227799228,-26.444223107569723,-0.074,0.747
0.025,-1.509854327335047,-1.0927152317880795,-0.7395182872435325,68.65671641791045,147.7799227799228,-26.444223107569723,-0.059,0.765
0.027777777777777776,-1.5107112253641817,-1.093543046357616,-0.7404103479036575,67.82752902155887,147.7799227799228,-26.444223107569723,-0.075,0.739
0.030555555555555555,-1.5115681233933163,-1.0943708609271523,-0.7413024085637824,67.66169154228855,147.7799227799228,-26.444223107569723,-0.078,0.734
0.03333333333333333,-1.5115681233933163,-1.0943708609271523,-0.7413024085637824,68.07628524046434,147.7799227799228,-26.444223107569723,-0.07,0.745
0.03611111111111111,-1.5132819194515852,-1.096026490066225,-0.743978590544157,67.99336650082918,147.7799227799228,-26.444223107569723,-0.071,0.743
0.03888888888888889,-1.5149957155098543,-1.0976821192052981,-0.7448706512042819,67.82752902155887,147.7799227799228,-26.444223107569723,-0.074,0.737
0.041666666666666664,-1.5115681233933163,-1.0951986754966887,-0.7421944692239072,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.739
0.044444444444444446,-1.5081405312767782,-1.091887417218543,-0.7386262265834077,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.738
0.04722222222222222,-1.5107112253641817,-1.093543046357616,-0.7404103479036575,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.738
0.05,-1.5132819194515852,-1.096026490066225,-0.7430865298840321,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.739
0.05277777777777778,-1.5124250214224508,-1.096026490066225,-0.7430865298840321,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.739
0.05555555555555555,-1.5115681233933163,-1.096026490066225,-0.7430865298840321,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.74
0.058333333333333334,-1.5115681233933163,-1.0951986754966887,-0.7430865298840321,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.742
0.06111111111111111,-1.509854327335047,-1.093543046357616,-0.7413024085637824,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.743
0.06388888888888888,-1.5089974293059125,-1.0927152317880795,-0.7404103479036575,67.91044776119402,147.7799227799228,-26.444223107569723,-0.074,0.744
0.06666666666666667,-1.5115681233933163,-1.0951986754966887,-0.7421944692239072,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.745
0.06944444444444445,-1.5132819194515852,-1.0968543046357615,-0.743978590544157,67.91044776119402,147.7799227799228,-26.444223107569723,-0.073,0.746
0.07222222222222222,-1.5124250214224508,-1.0951986754966887,-0.7430865298840321,67.91044776119402,147.7799227799228,-26.444223107569723,-0.072,0.747
